pad	1000000000
unk	1000000000
<s>	1000000000
</s>	1000000000
co	353648
va	248007
unk	226446
cua	225510
la	217507
nhung	217273
khong	199965
trong	184339
nguoi	175488
duoc	171787
do	170698
cho	170498
mot	170166
cac	167650
de	160492
toi	154042
da	149274
ban	144556
tu	140256
voi	137057
the	136836
con	135838
thi	133448
cung	133023
dong	131084
nay	125313
nam	117472
khi	115137
chi	110123
ve	105147
nhan	99483
lam	98753
noi	98374
doi	98034
moi	97833
dung	97543
anh	96974
gia	95941
den	95525
su	95430
cong	94950
dau	93893
quan	92052
nhieu	91565
van	89584
o	87753
an	87595
bo	87467
thu	86996
ra	86914
tai	86491
tinh	86154
qua	85610
vi	84679
lai	84311
se	83524
nhu	83238
dan	82667
so	82291
du	81300
dang	79965
day	78498
hoc	78065
dinh	77321
bi	76092
phai	75900
minh	75832
thanh	75621
di	75549
vao	74291
ca	73426
nha	72532
chung	72359
ho	72230
ngay	72069
viec	70999
bao	70051
hoi	67434
truong	65929
thuc	65650
hien	65222
tien	63283
can	62475
hon	62434
nuoc	61863
biet	61608
hai	61107
sau	61100
sinh	60233
ma	59663
mat	58996
tren	58822
hang	57236
thay	57143
thuong	57033
nen	56240
thoi	56172
dieu	55042
ong	54803
nhat	53266
em	52737
cau	52228
duong	50861
trung	50398
rat	50121
chuyen	50050
vien	49505
nang	49053
dien	48811
chu	48761
theo	48313
dai	47677
hoa	47163
chinh	46974
luc	46662
thong	46357
phan	46343
quoc	45936
tam	45917
bat	45826
viet	45187
song	45149
san	44694
cam	43692
tri	43683
to	42834
dat	42333
hay	42188
tro	41662
ky	41522
tuong	40924
cao	40817
khac	40755
tham	40443
cu	39785
lan	39754
hanh	39677
vo	39227
nao	39161
me	38775
ta	38393
dao	38333
hop	38201
gian	38182
yeu	38025
loi	38009
thang	37927
ba	37923
ly	37783
chua	37667
bien	37455
cach	37341
ngoai	37122
diem	37103
vu	37101
phu	37071
phat	37022
truoc	36370
canh	36119
xe	35963
dua	35844
phong	35747
nghi	35623
nguyen	34970
len	34904
may	34382
y	34369
roi	34317
no	34192
xa	34002
