pad	1000000000
unk	1000000000
<s>	1000000000
</s>	1000000000
có	250556
và	243000
unk	226446
của	212794
là	204672
không	197511
người	174323
được	170421
một	169627
các	167629
trong	153315
những	148488
cho	146258
với	131025
đã	117834
để	115465
tôi	111348
khi	106446
này	95843
nhiều	87766
đến	87469
thể	86509
cũng	85884
ra	85507
làm	83914
công	83038
về	81735
ở	81279
đó	80878
như	77663
học	77526
con	76095
phải	74640
vào	74205
lại	73109
sẽ	72866
bạn	71849
việc	70999
nhà	69553
bị	68872
từ	67717
sự	67666
anh	66218
nhưng	65811
đi	63410
nước	61861
năm	60779
mình	60340
sinh	60068
chỉ	59853
hiện	59495
trên	58793
thì	58071
ngày	56213
còn	54680
thành	54672
quan	53749
gia	53508
mà	53141
nhân	53111
đầu	53107
sau	52915
em	52127
ông	51615
tại	51434
hơn	50536
điều	50464
đồng	50114
trường	50039
động	49887
rất	49750
nên	49624
theo	48295
hàng	48045
thế	47875
vì	46993
dân	46826
quốc	45935
thời	45251
đây	44368
cả	44202
biết	44190
định	43980
nam	43859
chúng	42907
số	42764
chính	42658
nhất	41480
đang	40407
bộ	39741
trung	39360
cơ	39325
mới	39281
thi	38716
thực	38621
hai	38561
nói	38235
việt	37582
cách	37287
qua	37043
cùng	36979
viên	36584
nhận	36527
trước	36369
nào	36306
thấy	36231
hội	35901
điểm	35860
tình	35605
khác	34979
họ	34912
cô	34767
vẫn	34096
lên	33982
ta	33878
lý	33774
đường	33416
hợp	33339
thông	33103
xe	32785
hành	32763
ăn	32522
hay	32448
cao	32177
hình	31502
phát	31482
sống	31472
do	31453
nếu	30683
khách	30251
cần	30118
trình	30061
mẹ	30052
tự	30018
cảm	29932
cuộc	29578
đối	29124
tâm	28865
tiền	28708
gì	28663
vụ	28614
thường	28398
tin	28391
dụng	28372
gian	28253
đại	28202
tiếp	28080
yêu	28072
nhiên	28038
giá	27946
chủ	27832
nay	27713
năng	27265
đề	27129
ngoài	27105
tế	26865
đình	26726
an	26477
lớn	26394
bệnh	26105
ý	26042
bản	25986
bảo	25959
sản	25672
vậy	25497
rằng	25488
